# z=0.000677
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
B,56727.5901,14.802,0.01
V,56727.5936,12.323,0.01
B,56727.722,14.425,0.01
V,56727.723,12.296,0.01
I,56727.724,10.651,0.01
R,56727.724,11.562,0.01
B,56728.0,14.969,0.01
I,56728.0,10.632,0.01
R,56728.0,11.537,0.01
V,56728.0,12.343,0.01
B,56728.22,14.814,0.01
I,56728.22,10.837,0.01
R,56728.22,11.619,0.01
V,56728.22,12.272,0.01
B,56728.771,14.527,0.01
V,56728.771,12.364,0.01
I,56728.772,10.72,0.01
R,56728.772,11.614,0.01
B,56729.0,15.060,0.01
I,56729.0,10.687,0.01
R,56729.0,11.550,0.01
V,56729.0,12.367,0.01
B,56729.27,14.866,0.01
I,56729.27,10.939,0.01
R,56729.27,11.724,0.01
V,56729.27,12.469,0.01
B,56729.736,14.549,0.01
V,56729.736,12.393,0.01
I,56729.737,10.78,0.01
R,56729.737,11.662,0.01
B,56730.24,14.853,0.01
I,56730.24,11.008,0.01
R,56730.24,11.586,0.01
V,56730.24,12.564,0.01
B,56730.772,14.596,0.01
V,56730.773,12.457,0.01
I,56730.774,10.851,0.01
R,56730.774,11.739,0.01
B,56730.9,15.003,0.01
I,56730.9,10.643,0.01
R,56730.9,11.650,0.01
V,56730.9,12.438,0.01
B,56731.0585,14.864,0.01
V,56731.0626,12.439,0.01
B,56731.27,14.903,0.01
I,56731.27,11.017,0.01
R,56731.27,11.755,0.01
V,56731.27,12.492,0.01
B,56731.4052,14.894,0.01
V,56731.4071,12.474,0.01
B,56731.5859,14.897,0.01
V,56731.5888,12.468,0.01
B,56732.785,14.603,0.01
V,56732.785,12.49,0.01
I,56732.786,10.925,0.01
R,56732.786,11.779,0.01
B,56733.29,15.007,0.01
I,56733.29,11.131,0.01
R,56733.29,11.912,0.01
V,56733.29,12.673,0.01
B,56734.779,14.68,0.01
V,56734.78,12.58,0.01
I,56734.781,11.072,0.01
R,56734.781,11.874,0.01
B,56735.2504,14.897,0.01
V,56735.2578,12.582,0.01
B,56735.28,14.965,0.01
I,56735.28,11.288,0.01
R,56735.28,11.951,0.01
V,56735.28,12.639,0.01
B,56736.749,14.722,0.01
R,56736.75,11.984,0.01
V,56736.75,12.671,0.01
I,56736.751,11.174,0.01
B,56736.9,15.042,0.01
I,56736.9,11.148,0.01
R,56736.9,11.904,0.01
V,56736.9,12.659,0.01
B,56737.25,14.988,0.01
I,56737.25,11.322,0.01
R,56737.25,11.948,0.01
V,56737.25,12.674,0.01
B,56738.786,14.727,0.01
R,56738.787,12.03,0.01
V,56738.787,12.706,0.01
I,56738.788,11.277,0.01
B,56739.0,15.124,0.01
I,56739.0,11.034,0.01
R,56739.0,11.958,0.01
V,56739.0,12.714,0.01
B,56739.29,15.017,0.01
I,56739.29,11.421,0.01
R,56739.29,12.086,0.01
V,56739.29,12.734,0.01
B,56739.6573,14.982,0.01
V,56739.6651,12.712,0.01
I,56739.76,11.273,0.01
R,56739.76,12.04,0.01
V,56739.76,12.688,0.01
B,56739.761,14.716,0.01
B,56740.743,14.768,0.01
R,56740.744,12.103,0.01
V,56740.744,12.752,0.01
I,56740.745,11.369,0.01
B,56741.24,15.044,0.01
I,56741.24,11.502,0.01
R,56741.24,12.147,0.01
V,56741.24,12.784,0.01
B,56741.9,15.169,0.01
I,56741.9,11.238,0.01
R,56741.9,12.035,0.01
V,56741.9,12.792,0.01
B,56742.8,15.156,0.01
I,56742.8,11.371,0.01
R,56742.8,12.065,0.01
V,56742.8,12.809,0.01
B,56743.724,15.034,0.01
V,56743.7272,12.83,0.01
B,56743.816,14.779,0.01
V,56743.817,12.82,0.01
I,56743.818,11.484,0.01
R,56743.818,12.178,0.01
B,56744.32,15.058,0.01
I,56744.32,11.769,0.01
R,56744.32,12.244,0.01
V,56744.32,12.919,0.01
B,56744.8,15.142,0.01
I,56744.8,11.370,0.01
R,56744.8,11.920,0.01
V,56744.8,12.855,0.01
B,56746.0,15.198,0.01
I,56746.0,11.411,0.01
R,56746.0,12.092,0.01
V,56746.0,12.916,0.01
B,56746.9,15.200,0.01
I,56746.9,11.480,0.01
R,56746.9,12.060,0.01
V,56746.9,12.938,0.01
B,56749.0476,15.212,0.01
V,56749.0511,12.927,0.01
B,56749.914,15.077,0.01
V,56749.9176,12.984,0.01
B,56751.8,15.223,0.01
I,56751.8,11.711,0.01
R,56751.8,12.318,0.01
V,56751.8,13.045,0.01
